,ID,ROADID,lat,lon
0,20,K03,25.02257386638541,121.479311568626
1,21,K03,25.022502574913524,121.47933693718063
2,22,K03,25.022168992412613,121.47940258389248
3,58,PA1,25.059866665792537,121.47303082658912
4,138,F01,24.99559445135624,121.50747168065178
5,158,L18,24.97547838358169,121.41541730575516
6,159,F01,24.99604489222401,121.5069033801428
7,160,F01,24.99689002056509,121.50634312155277
8,161,F01,24.993676725315318,121.51152208585184
9,162,F01,24.993825682936066,121.51130248878391
10,163,F01,24.998323666382287,121.50603900634745
11,164,F01,24.998372993464518,121.50603686206779
12,171,F01,24.998422646836325,121.506036492184
13,172,F01,24.993522708477936,121.5117351974562
14,173,F01,24.993586961577748,121.511652074799
15,188,F01,24.99355514737239,121.51169363613842
16,189,F01,24.994521437806352,121.51011313735684
17,209,F01,24.99456240448845,121.51000429880413
18,210,F01,24.994579096285,121.5099529858102
19,227,F01,24.994612997523816,121.50984242444122
20,228,F01,24.99465830913317,121.50968696121393
21,242,F01,24.994066463910194,121.51095532577853
22,266,F01,24.994006317298826,121.5110418622075
23,267,F01,24.994125985794753,121.51086810004409
24,281,L18,24.97548379910243,121.41536315487495
25,282,F01,24.994096224858765,121.51091171292185
26,300,F01,24.993915902428256,121.51117233889215
27,301,F01,24.993945898779604,121.51112892068822
28,302,F01,24.994210913373085,121.51073332739657
29,303,F01,24.99535394729445,121.50787265587549
30,304,F01,24.994977454923376,121.50869764496834
31,313,F01,24.995144066819158,121.50830280284613
32,334,F01,24.995813105039197,121.50717397587543
33,335,F01,24.99584515108546,121.50713235747213
34,336,F01,24.995379722195896,121.50782620866137
35,337,F01,24.99501674597827,121.50859746362076
36,350,F01,24.99503673485412,121.5085476475614
37,351,F01,24.995328172378425,121.50791873912115
38,352,F01,24.995233394361534,121.508108384862
39,353,F01,24.99495860654137,121.50874803890899
40,385,F01,24.99499685306132,121.50864737232824
41,404,L18,24.975007364747402,121.41324068105742
42,405,F01,24.99587727103609,121.50709166915644
43,406,F01,24.996580845551897,121.50651415941131
44,407,F01,24.99680147351236,121.50639128052927
45,420,F01,24.9966241934095,121.50648929422235
46,441,F01,24.995256015385518,121.50805996099658
47,442,F01,24.995747530413052,121.50725656323995
48,443,F01,24.99571592348893,121.50729858397251
49,458,F01,24.995781058981482,121.50721559425709
50,459,F01,24.99608280895762,121.50686820087576
51,460,F01,24.996120725683042,121.50683302158724
52,461,F01,24.996158642400307,121.50679784227715
53,462,F01,24.996196559109386,121.50676266294558
54,463,F01,24.99653721568275,121.50653925312994
55,464,F01,24.99644941685048,121.50659067099329
56,474,F01,24.99640680789843,121.50661700889972
57,475,F01,24.996363754942852,121.50664553602371
58,492,F01,24.998921023833173,121.50603024733114
59,493,F01,24.998970674666964,121.50602958412071
60,511,L18,24.974503987809378,121.41308352600372
61,512,F01,24.99902032550041,121.50602892091013
62,513,F01,24.9995247388871,121.50602747032929
63,514,F01,24.99927650919137,121.50603253167831
64,515,F01,24.999326155131158,121.5060315194094
65,516,F01,24.999375801070638,121.50603050714001
66,682,K18,25.017590536604143,121.48280873892664
67,683,K18,25.01755898382737,121.4827667236314
68,697,L18,24.97445673493084,121.41306678690636
69,714,L18,24.974037649291716,121.41282896662511
70,840,L18,24.97386419142639,121.41263301792564
71,841,L18,24.973550331004514,121.41101302991486
72,852,I39,24.95997487222481,121.41990511169598
73,853,I39,24.959363197914303,121.41862310731148
74,857,L18,24.974109998126256,121.40926713208106
75,859,K25,25.01837449315461,121.46101576720969
76,876,L18,24.974581164223316,121.40780825775438
77,902,L18,24.974575615873192,121.40775402351713
78,903,L18,24.974563065254664,121.40770069324843
79,904,L18,24.974541628610982,121.4075369227387
80,905,L18,24.974521659212066,121.40737128664179
81,906,L18,24.97451434387253,121.40731740559556
82,946,T15,24.992499767763782,121.50289654906638
83,947,T15,24.992492899939517,121.50295050820051
84,951,P66,25.052853909095177,121.47112598739079
85,953,L01,24.980323939425325,121.40975414668085
86,954,L01,24.980338518631314,121.40980362730923
87,955,L01,24.980353792067426,121.40985546417028
88,956,L01,24.980368106863605,121.4099080821874
89,957,L01,24.980380498710126,121.40996117130592
90,958,L01,24.98039020076084,121.4100154928675
91,959,L01,24.980401711583692,121.41006848690807
92,960,L01,24.980413222387533,121.41012148095831
93,1007,P20,25.080800400802,121.46156880671481
94,1135,P66,25.05282282488489,121.47097877634943
95,1136,T50,24.95308022909284,121.54391082158787
96,1137,T50,24.95305917938173,121.54380376245344
97,1153,T50,24.953070900181732,121.54385668848869
98,1163,R62,25.0586102438558,121.4521008478291
99,1164,R62,25.058556076939592,121.45210039626629
100,1165,R62,25.05850191002297,121.45209994470429
101,1166,R62,25.058447743105997,121.45209949314304
102,1167,R62,25.058393576188568,121.45209904158266
103,1168,R62,25.058339409270783,121.45209859002304
104,1169,R62,25.058285242352554,121.45209813846418
105,1170,R62,25.05823107543393,121.45209768690614
106,1171,R62,25.05817690851493,121.45209723534892
107,1172,R62,25.05812274159551,121.45209678379247
108,1173,R62,25.05806857467565,121.45209633223688
109,1174,R62,25.05801440775545,121.45209588068205
110,1175,R62,25.057960240834852,121.45209542912805
111,1176,R62,25.05785190699241,121.45209452602244
112,1177,R62,25.05779774007059,121.4520940744708
113,1178,R62,25.0577435731484,121.45209362291996
114,1179,R62,25.057689406225773,121.45209317137
115,1180,R62,25.05763523930275,121.45209271982077
116,1181,R62,25.05758107237932,121.45209226827231
117,1182,R62,25.057906073913838,121.45209497757484
118,1184,R62,25.057047530346328,121.45208939463295
119,1185,R62,25.05699336341857,121.45208894309252
