id,roadid,lat,lon,route,district,address,feeid
49792,4,25.01234441636947,121.478796941519,三民路二段,板橋區,220台灣新北市板橋區三民路一段126號,K03
49841,4,25.012854490134,121.4788270141735,三民路二段,板橋區,"1 87弄9號, 三民路一段31巷板橋區新北市台灣 220",K48
49862,4,25.01292553770181,121.4790959227933,三民路二段,板橋區,220台灣新北市板橋區三民路一段11號,K03
67679,4,25.01298764589764,121.4788381383217,三民路二段,板橋區,220台灣新北市板橋區三民路一段94號,K03
70666,4,25.01312130889251,121.4791072573422,三民路二段,板橋區,220台灣新北市板橋區三民路一段122號,K03
83801,4,25.01345607404863,121.4791351812206,三民路二段,板橋區,220台灣新北市板橋區三民路一段84號,K03
83802,4,25.01350854878611,121.4788855795344,三民路二段,板橋區,220台灣新北市板橋區三民路一段6號,K03
86150,4,25.01351983494278,121.4791388635215,三民路二段,板橋區,220台灣新北市板橋區三民路一段6號,K03
86151,4,25.01357474107788,121.4788899634306,三民路二段,板橋區,220台灣新北市板橋區三民路一段6號,K03
95124,4,25.01358325040246,121.4791426923026,三民路二段,板橋區,220台灣新北市板橋區三民路一段120號,K03
95832,4,25.01364260979327,121.4788948100858,三民路二段,板橋區,220台灣新北市板橋區三民路一段73號,K03
110816,4,25.01364687594306,121.4791461645597,三民路二段,板橋區,220台灣新北市板橋區三民路一段46號,K03
111537,4,25.0137272629952,121.4791507825997,三民路二段,板橋區,220台灣新北市板橋區三民路一段33號,K48
10740,4,25.01379090101549,121.4791546477914,三民路二段,板橋區,220台灣新北市板橋區三民路一段31巷87-89弄3號,K48
36680,4,25.01383607660713,121.4789096012576,三民路二段,板橋區,220台灣新北市板橋區三民路一段31巷57號,K48
80586,4,25.01390107099516,121.4789161835521,三民路二段,板橋區,220台灣新北市板橋區三民路一段31巷9號,K48
80587,4,25.01430127794068,121.4789473173654,三民路二段,板橋區,220台灣新北市板橋區三民路一段31巷9號,K48
95833,4,25.01446007738536,121.4792060963923,三民路二段,板橋區,220台灣新北市板橋區三民路一段31巷59號,K35
